Glass Type,Thickness (mm),Length (m),Width (m),Aspect Ratio,None-Factor Load (kPa),Deflection (mm),Glass Type Factor (ShortLoad),Glass Type Factor (LongLoad),Load Share Factor (LSF),Load Resistance (kPa),Load Duration Factor
Laminated,5,2.9,3.9,0.74,1.31,3.71,3.8,2.85,0.6,8.3,0.64
Heat-Strengthened,10,2.91,1.98,1.47,2.86,2.02,2,1.3,0.778,7.35,0.55
Heat-Strengthened,16,1.19,2.7,0.44,0.88,0,2,1.3,0.76,2.32,0.55
Fully Tempered,10,2.93,3.73,0.79,2.21,0.85,4,3,0.737,11.99,0.43
Heat-Strengthened,5,2.49,1.84,1.35,0.68,2.22,2,1.3,0.833,1.63,0.83
Heat-Strengthened,8,4.93,3.35,1.47,2.25,15.14,2,1.3,0.754,5.97,0.72
Annealed,4,4.07,3.29,1.24,2.35,59.83,1,0.43,0.573,4.1,0.31
Heat-Strengthened,6,4.7,3.6,1.31,1.81,22.19,2,1.3,0.812,4.46,0.83
Laminated,6,4.33,1.15,3.77,3,92.16,3.8,2.85,0.835,13.65,0.43
Fully Tempered,16,3.2,3.57,0.9,1.03,0.14,4,3,0.791,5.21,1
Annealed,8,3.89,3.57,1.09,0.7,1.71,1,0.43,0.664,1.05,0.55
Laminated,19,3.86,3.23,1.2,2.22,0.43,3.8,2.85,0.825,10.23,0.31
Annealed,10,3.83,3.18,1.2,1.89,2.5,1,0.43,0.861,2.2,0.43
Annealed,16,4.23,4.63,0.91,2.47,0.81,1,0.43,0.725,3.41,0.43
Annealed,8,3.46,4.6,0.75,0.79,0.94,1,0.43,0.336,2.35,0.83
Annealed,12,4.69,2.19,2.14,1.19,3.3,1,0.43,0.701,1.7,0.83
Laminated,4,2.35,2.9,0.81,2.47,7.93,3.8,2.85,0.415,22.62,0.43
Laminated,12,3.39,1.33,2.55,1.16,1.45,3.8,2.85,0.886,4.98,1
Annealed,16,4.09,3.27,1.25,2.92,1.19,1,0.43,0.834,3.5,0.55
Heat-Strengthened,16,2.17,2.72,0.8,2.76,0.11,2,1.3,0.756,7.3,0.64
Heat-Strengthened,12,1.71,1.07,1.6,2.39,0.24,2,1.3,0.752,6.36,0.36
Annealed,6,1.45,1.35,1.07,2.06,0.61,1,0.43,0.712,2.89,0.83
Annealed,19,4.98,1.13,4.41,1.79,3.08,1,0.43,0.756,2.37,0.64
Annealed,4,2.79,4.78,0.58,2.38,9.21,1,0.43,0.338,7.04,0.43
Annealed,10,4.04,1.65,2.45,0.76,2.66,1,0.43,0.772,0.98,0.83
Annealed,8,4.88,4.01,1.22,2.57,13.87,1,0.43,0.671,3.83,1
Heat-Strengthened,19,4.77,2.53,1.89,1.18,0.76,2,1.3,0.753,3.13,0.64
Laminated,12,1.57,1.46,1.08,2.66,0.13,3.8,2.85,0.893,11.32,0.83
Laminated,8,2.88,3.02,0.95,0.95,0.83,3.8,2.85,0.637,5.67,0.83
Heat-Strengthened,12,4.37,4.46,0.98,2.55,2.36,2,1.3,0.808,6.31,0.64
Fully Tempered,5,1.28,4.81,0.27,1.06,0.09,4,3,0.353,12.01,0.83
Laminated,10,3.19,1.29,2.47,1.32,2.3,3.8,2.85,0.812,6.18,0.36
Laminated,6,3.17,1.88,1.69,0.96,5.18,3.8,2.85,0.655,5.57,0.93
Laminated,4,4.95,2.52,1.96,2.9,234.36,3.8,2.85,0.827,13.33,0.43
Heat-Strengthened,6,1.67,2.13,0.78,1.92,0.63,2,1.3,0.481,7.98,0.64
Fully Tempered,5,4.58,3.97,1.15,1.07,18.54,4,3,0.537,7.97,0.83
Annealed,6,3.85,2.81,1.37,1.28,9.05,1,0.43,0.751,1.7,1
Annealed,6,3.84,3.47,1.11,1.16,6.57,1,0.43,0.681,1.7,0.64
Heat-Strengthened,8,1.23,1.9,0.65,2.99,0.14,2,1.3,0.81,7.38,0.55
Annealed,12,3.23,3,1.08,2.72,1.12,1,0.43,0.827,3.29,0.43
Heat-Strengthened,5,2.96,3.03,0.98,2.39,9.46,2,1.3,0.791,6.04,0.72
Annealed,6,4,4.29,0.93,1.34,7.23,1,0.43,0.71,1.89,0.64
Laminated,6,4.24,3.39,1.25,0.9,7.76,3.8,2.85,0.507,6.75,0.93
Laminated,10,2.2,4.39,0.5,1.22,0.13,3.8,2.85,0.899,5.16,0.83
Fully Tempered,5,1.5,4.01,0.37,1.34,0.26,4,3,0.824,6.5,0.72
Annealed,16,1.48,4.78,0.31,2.4,0.01,1,0.43,0.786,3.05,0.83
Laminated,19,4.01,1.66,2.42,2.92,1.44,3.8,2.85,0.875,12.68,0.55
Laminated,8,3.13,4.16,0.75,2.25,1.98,3.8,2.85,0.633,13.51,0.93
Heat-Strengthened,16,1.67,1.73,0.97,1.26,0.03,2,1.3,0.752,3.35,0.93
Fully Tempered,19,1.02,4.23,0.24,2.76,0,4,3,0.857,12.88,0.72
Annealed,8,1.16,2.47,0.47,1.86,0.05,1,0.43,0.895,2.08,0.93
Fully Tempered,6,1.72,1.67,1.03,1.66,0.79,4,3,0.333,19.94,0.36
Fully Tempered,5,4.65,1.54,3.02,1.35,71.18,4,3,0.888,6.08,0.93
Fully Tempered,19,4.02,3.05,1.32,1.52,0.37,4,3,0.897,6.78,0.83
Heat-Strengthened,19,2.95,3.82,0.77,2.96,0.17,2,1.3,0.899,6.59,1
Laminated,12,1.47,1.11,1.32,0.98,0.05,3.8,2.85,0.889,4.19,0.83
Heat-Strengthened,16,2.91,3.18,0.92,2.15,0.23,2,1.3,0.842,5.11,0.93
Fully Tempered,8,1.44,2.32,0.62,0.57,0.04,4,3,0.765,2.98,0.31
Fully Tempered,19,4.44,3.69,1.2,1.3,0.39,4,3,0.757,6.87,0.83
Fully Tempered,5,2.51,2.15,1.17,0.65,1.88,4,3,0.496,5.24,0.36
Fully Tempered,4,1.17,3.63,0.32,2.29,0.36,4,3,0.566,16.18,0.83
Laminated,8,3.66,3.41,1.07,2.34,4.7,3.8,2.85,0.544,16.35,1
Laminated,10,4.2,1.73,2.43,2.49,9.72,3.8,2.85,0.712,13.29,0.31
Fully Tempered,8,1.53,4.14,0.37,1.86,0.09,4,3,0.313,23.77,0.64
Annealed,10,4.03,2.86,1.41,0.81,1.46,1,0.43,0.798,1.02,0.31
Annealed,4,4.42,2.03,2.18,1.65,105.23,1,0.43,0.432,3.82,0.43
Heat-Strengthened,5,4.91,2.92,1.68,2.13,73.63,2,1.3,0.748,5.7,0.83
Annealed,19,3.31,3.96,0.84,0.54,0.05,1,0.43,0.869,0.62,0.93
Fully Tempered,16,1.84,4.2,0.44,1.46,0.02,4,3,0.855,6.83,0.72
Heat-Strengthened,12,2.63,4.6,0.57,0.64,0.08,2,1.3,0.804,1.59,0.93
Fully Tempered,5,4.58,3.86,1.19,2.03,36.17,4,3,0.755,10.75,0.83
Annealed,8,3.48,4.6,0.76,1.5,1.83,1,0.43,0.696,2.16,1
Fully Tempered,12,1.77,3.71,0.48,1.12,0.03,4,3,0.881,5.09,0.31
Heat-Strengthened,6,2.55,4.58,0.56,0.84,0.7,2,1.3,0.671,2.5,0.31
Annealed,6,3.76,3.3,1.14,2.7,14.79,1,0.43,0.835,3.23,0.43
Fully Tempered,6,2.83,3.77,0.75,1.46,2.25,4,3,0.551,10.6,1
Heat-Strengthened,12,2.41,3.52,0.68,1.01,0.11,2,1.3,0.722,2.8,0.93
Heat-Strengthened,5,2.22,2.34,0.95,2.81,4.56,2,1.3,0.443,12.69,0.43
Annealed,19,1.29,2.44,0.53,0.92,0,1,0.43,0.768,1.2,0.64
Annealed,6,2.97,1.27,2.34,0.59,3.63,1,0.43,0.408,1.45,0.43
Heat-Strengthened,5,1.17,3.24,0.36,1.49,0.13,2,1.3,0.548,5.44,0.36
Annealed,8,1.51,4.46,0.34,1.3,0.06,1,0.43,0.384,3.39,0.36
Annealed,6,1.05,4.66,0.23,1.88,0.04,1,0.43,0.333,5.65,1
Heat-Strengthened,5,3.54,4.42,0.8,1.81,10.05,2,1.3,0.498,7.27,0.64
Laminated,4,4.09,2.1,1.95,1.58,71.42,3.8,2.85,0.742,8.09,0.93
Fully Tempered,12,4.66,4.93,0.95,1.61,1.74,4,3,0.76,8.47,0.64
Heat-Strengthened,10,1.31,4.82,0.27,0.99,0.01,2,1.3,0.866,2.29,0.72
Fully Tempered,6,4.76,2.41,1.98,2.52,53.95,4,3,0.457,22.06,0.83
Heat-Strengthened,16,1.17,2.92,0.4,0.81,0,2,1.3,0.736,2.2,0.36
Fully Tempered,16,4.03,3.43,1.17,2.52,0.92,4,3,0.785,12.84,0.72
Laminated,8,4.85,4.9,0.99,2.65,11.42,3.8,2.85,0.801,12.57,0.55
Heat-Strengthened,5,1.67,3.21,0.52,0.88,0.33,2,1.3,0.404,4.36,0.43
Fully Tempered,5,4.72,2.66,1.77,1.44,46.66,4,3,0.661,8.71,0.72
Annealed,16,1.26,1.08,1.17,2.48,0.03,1,0.43,0.882,2.81,0.55
Laminated,4,1.94,4.78,0.41,0.84,0.76,3.8,2.85,0.642,4.97,0.93
Heat-Strengthened,10,2.01,1.26,1.6,2.37,0.67,2,1.3,0.856,5.54,0.55
Annealed,10,4.64,2.02,2.3,2.47,12.3,1,0.43,0.818,3.02,0.93
Fully Tempered,6,2.73,1.41,1.94,0.93,3.68,4,3,0.308,12.08,0.64
Fully Tempered,5,4.54,2.73,1.66,2.81,75.95,4,3,0.402,27.96,0.83
Heat-Strengthened,19,4.19,1.17,3.58,2.84,2.37,2,1.3,0.773,7.35,0.43
Heat-Strengthened,8,3.13,2.65,1.18,1.69,2.34,2,1.3,0.645,5.24,0.93
Laminated,12,1.34,2.01,0.67,2.18,0.04,3.8,2.85,0.707,11.72,0.72
Annealed,12,4.28,2.15,1.99,1.86,3.65,1,0.43,0.72,2.58,0.72
Fully Tempered,6,4.29,1.92,2.23,1.98,35.11,4,3,0.765,10.35,0.64
Fully Tempered,16,2.87,1.48,1.94,1.18,0.29,4,3,0.736,6.41,0.93
Fully Tempered,6,3.3,2.21,1.49,2.3,11.16,4,3,0.804,11.44,0.72
Laminated,10,3.99,2.82,1.41,2.75,4.83,3.8,2.85,0.767,13.62,0.93
Fully Tempered,16,1.43,1.63,0.88,2.53,0.03,4,3,0.838,12.08,0.64
Annealed,12,4.67,4.13,1.13,1.44,1.88,1,0.43,0.84,1.71,0.31
Fully Tempered,5,2.95,1.45,2.03,2.14,19.41,4,3,0.729,11.74,0.55
Annealed,8,4.05,3.3,1.23,1.94,6.04,1,0.43,0.789,2.46,0.31
Laminated,8,4.42,2.15,2.06,2.68,20.17,3.8,2.85,0.362,28.13,0.64
Laminated,12,2.26,2.07,1.09,1.5,0.21,3.8,2.85,0.866,6.58,0.55
Laminated,19,4.48,3.99,1.12,0.86,0.25,3.8,2.85,0.824,3.97,1
Laminated,6,3.62,1.33,2.72,0.75,9.73,3.8,2.85,0.361,7.89,0.72
Annealed,16,3.78,3.25,1.16,2.06,0.62,1,0.43,0.821,2.51,0.93
Annealed,8,3.97,3.33,1.19,0.7,1.99,1,0.43,0.522,1.34,0.43
Annealed,8,3.37,2.93,1.15,2.13,3.58,1,0.43,0.879,2.42,0.93
Laminated,6,1.65,4.23,0.39,2.16,0.34,3.8,2.85,0.817,10.05,0.93
Fully Tempered,10,1.93,4.3,0.45,2.76,0.17,4,3,0.72,15.33,0.31
Annealed,12,1.75,1.24,1.41,0.87,0.07,1,0.43,0.71,1.23,0.43
Laminated,6,4.97,1.59,3.13,1.24,47.82,3.8,2.85,0.818,5.76,0.93
Fully Tempered,10,1.63,2.8,0.58,1.02,0.05,4,3,0.708,5.76,0.72
Annealed,5,1.58,3.54,0.45,1.74,0.48,1,0.43,0.837,2.08,0.43
Heat-Strengthened,16,1.15,2.59,0.44,2.36,0.01,2,1.3,0.755,6.25,0.36
Laminated,5,1.3,2.34,0.56,2.97,0.57,3.8,2.85,0.408,27.66,0.55
Fully Tempered,5,3.92,4.47,0.88,2.45,20.23,4,3,0.694,14.12,0.31
Annealed,10,3.3,3.55,0.93,2.06,1.34,1,0.43,0.805,2.56,0.31
Fully Tempered,16,1.49,3.17,0.47,2.41,0.02,4,3,0.85,11.34,0.55
Laminated,8,3.04,4.98,0.61,0.77,0.5,3.8,2.85,0.642,4.56,0.64
Laminated,5,4.51,1.85,2.44,1.06,41.17,3.8,2.85,0.822,4.9,0.72
Annealed,5,1.32,4.33,0.3,2.23,0.24,1,0.43,0.7,3.19,0.43
Laminated,8,3.06,3.32,0.92,1.72,1.73,3.8,2.85,0.311,21.02,1
Heat-Strengthened,12,2.79,2.44,1.14,2.56,0.72,2,1.3,0.718,7.13,0.93
Fully Tempered,5,2.04,3.95,0.52,1.03,0.71,4,3,0.313,13.16,0.43
Fully Tempered,19,1.09,1.22,0.89,0.88,0,4,3,0.796,4.42,0.93
Heat-Strengthened,16,2.41,3.94,0.61,1.83,0.07,2,1.3,0.877,4.17,1
Annealed,6,4.02,2.86,1.41,1.53,12.64,1,0.43,0.529,2.89,1
Laminated,19,2.62,1.51,1.74,2.75,0.27,3.8,2.85,0.713,14.66,0.72
Heat-Strengthened,6,3.46,3.35,1.03,2.38,9.21,2,1.3,0.876,5.43,0.64
Laminated,16,3.51,4.73,0.74,2.72,0.42,3.8,2.85,0.703,14.7,0.72
Annealed,8,4.47,1.11,4.03,2.15,32.79,1,0.43,0.523,4.11,0.43
Annealed,4,2.14,2.13,1,1.54,4.63,1,0.43,0.783,1.97,1
Fully Tempered,19,4.52,4.23,1.07,3,0.84,4,3,0.84,14.29,1
Heat-Strengthened,8,1.49,1.18,1.26,0.51,0.08,2,1.3,0.779,1.31,0.31
Annealed,5,1.96,1.76,1.11,1.32,1.73,1,0.43,0.79,1.67,1
Laminated,8,2.39,2.03,1.18,1.71,1.05,3.8,2.85,0.342,19,0.64
Fully Tempered,12,3.5,1.78,1.97,2.15,2.28,4,3,0.857,10.04,0.36
Heat-Strengthened,12,4.46,2.15,2.07,0.9,2.08,2,1.3,0.787,2.29,0.83
Heat-Strengthened,10,4.92,1.2,4.1,2.15,22.79,2,1.3,0.775,5.55,0.36
Annealed,4,1.06,2.68,0.4,2.87,0.41,1,0.43,0.685,4.19,1
Fully Tempered,16,1.85,4.48,0.41,0.71,0.01,4,3,0.885,3.21,1
Heat-Strengthened,6,2.58,2.25,1.15,1.81,3.22,2,1.3,0.892,4.06,0.72
Heat-Strengthened,5,4.44,1.63,2.72,2.25,93.17,2,1.3,0.828,5.43,0.31
Heat-Strengthened,8,2,3.23,0.62,1.88,0.36,2,1.3,0.665,5.65,0.64
Laminated,10,2,1.13,1.77,2.28,0.7,3.8,2.85,0.717,12.08,1
Heat-Strengthened,12,1.35,2.16,0.62,2.62,0.05,2,1.3,0.886,5.91,0.72
Heat-Strengthened,4,1.46,1.4,1.04,2.64,2.62,2,1.3,0.765,6.9,1
Fully Tempered,12,3.57,1.69,2.11,0.69,0.83,4,3,0.809,3.41,0.83
Fully Tempered,10,3.07,2.12,1.45,2.63,2.15,4,3,0.841,12.51,0.31
Laminated,4,3.82,1.29,2.96,0.56,31.36,3.8,2.85,0.756,2.81,0.31
Fully Tempered,6,2.49,1.16,2.15,2.7,8.99,4,3,0.557,19.39,0.93
Fully Tempered,19,1.92,4.66,0.41,0.57,0,4,3,0.751,3.04,0.72
Annealed,12,4.22,3.41,1.24,2.37,2.49,1,0.43,0.821,2.89,0.31
Laminated,5,4.33,2.45,1.77,1.23,30.65,3.8,2.85,0.733,6.38,0.83
Annealed,5,1.69,2.47,0.68,2.32,1.2,1,0.43,0.448,5.18,0.93
Fully Tempered,19,4.48,2.39,1.87,0.5,0.27,4,3,0.87,2.3,0.64
Fully Tempered,16,1.85,3.29,0.56,2.87,0.05,4,3,0.838,13.7,0.72
Laminated,10,3.17,2.57,1.23,0.98,0.75,3.8,2.85,0.88,4.23,0.93
Annealed,12,3.05,4.27,0.71,1.19,0.27,1,0.43,0.759,1.57,0.64
Annealed,8,3.15,3.26,0.97,2.83,3.26,1,0.43,0.328,8.63,0.43
Annealed,5,2.08,3.47,0.6,1.98,1.67,1,0.43,0.746,2.65,1
Heat-Strengthened,4,3.29,3.85,0.85,1.16,10.78,2,1.3,0.618,3.75,0.64
Heat-Strengthened,6,4.75,3.64,1.3,2.66,33.65,2,1.3,0.624,8.53,0.72
Laminated,5,4.59,4.21,1.09,1.73,28.51,3.8,2.85,0.409,16.07,0.31
Annealed,6,3.55,3.84,0.92,2.95,11.04,1,0.43,0.884,3.34,0.31
Fully Tempered,16,4.92,2.78,1.77,2.28,2.55,4,3,0.849,10.74,0.72
Laminated,4,4.64,2.89,1.61,0.61,33.19,3.8,2.85,0.575,4.03,1
Fully Tempered,6,4.84,3.4,1.42,0.57,8.32,4,3,0.466,4.89,0.36
Heat-Strengthened,19,4.44,1.11,4,0.85,0.94,2,1.3,0.832,2.04,1
Fully Tempered,19,3.93,3.38,1.16,2.95,0.59,4,3,0.874,13.5,0.55
Heat-Strengthened,4,2.55,2.3,1.11,1.65,9.26,2,1.3,0.391,8.44,0.83
Fully Tempered,12,3.18,3.28,0.97,1.2,0.42,4,3,0.854,5.62,1
Fully Tempered,12,3.55,3.13,1.13,0.58,0.33,4,3,0.863,2.69,0.83
Laminated,8,2.25,3.43,0.66,1.05,0.3,3.8,2.85,0.59,6.76,0.93
Annealed,8,1.55,4.35,0.36,2.48,0.13,1,0.43,0.751,3.3,0.43
Heat-Strengthened,12,4.85,4.34,1.12,2.88,4.15,2,1.3,0.81,7.11,0.64
Heat-Strengthened,8,4.79,3.68,1.3,1.23,6.71,2,1.3,0.704,3.49,0.93
Heat-Strengthened,6,4.55,3.67,1.24,2.7,28.52,2,1.3,0.688,7.85,0.64
Annealed,4,2.21,2.46,0.9,0.57,1.69,1,0.43,0.748,0.76,0.64
Annealed,8,4.77,4.44,1.07,2.41,10.72,1,0.43,0.467,5.16,0.64
Annealed,5,2.67,4.32,0.62,0.75,1.38,1,0.43,0.419,1.79,0.31
Annealed,8,1.02,4.49,0.23,1.55,0.01,1,0.43,0.736,2.11,0.31
Annealed,8,1.47,1.93,0.76,2.17,0.2,1,0.43,0.742,2.92,0.31
Annealed,16,1.19,4.92,0.24,0.51,0,1,0.43,0.791,0.64,0.36
Laminated,4,3.35,4.54,0.74,0.79,6.69,3.8,2.85,0.532,5.64,0.31
Annealed,6,4.56,1.33,3.43,1.54,50.32,1,0.43,0.844,1.82,0.36
Fully Tempered,10,4.04,2.39,1.69,1.26,3.05,4,3,0.859,5.87,0.72
Fully Tempered,19,1.54,4.27,0.36,1.89,0.01,4,3,0.781,9.68,0.43
Fully Tempered,6,4.65,2.9,1.6,2.59,41.97,4,3,0.368,28.15,0.83
Heat-Strengthened,10,4.57,4.1,1.11,1.84,3.82,2,1.3,0.805,4.57,0.31
Heat-Strengthened,5,3.47,2.06,1.68,1.36,16.62,2,1.3,0.33,8.24,0.55
Laminated,8,4.83,4.87,0.99,1.51,6.44,3.8,2.85,0.632,9.08,0.64
Heat-Strengthened,19,1.71,2.34,0.73,2.63,0.03,2,1.3,0.779,6.75,0.72
Heat-Strengthened,6,4.53,1.54,2.94,2.38,65.41,2,1.3,0.309,15.4,0.55
Annealed,4,3.6,2.62,1.37,2.54,49.71,1,0.43,0.741,3.43,0.43
Laminated,6,1.44,4.84,0.3,2.86,0.23,3.8,2.85,0.418,26,1
Laminated,19,2.59,4.49,0.58,2.13,0.06,3.8,2.85,0.807,10.03,0.64
Annealed,8,3.57,4.15,0.86,0.68,1.02,1,0.43,0.699,0.97,0.64
Fully Tempered,5,3.67,4.74,0.77,1.44,8.61,4,3,0.432,13.33,0.31
Heat-Strengthened,4,4.09,3.58,1.14,1.91,45.58,2,1.3,0.617,6.19,1
Laminated,4,2.88,1.37,2.1,0.75,12.78,3.8,2.85,0.32,8.91,1
Annealed,10,4.87,2.83,1.72,1.92,8.28,1,0.43,0.838,2.29,0.83
Laminated,16,1.7,3.77,0.45,1.45,0.02,3.8,2.85,0.898,6.14,0.43
Fully Tempered,19,1.32,1.66,0.8,2.69,0.01,4,3,0.892,12.06,1
Annealed,6,2.32,2.08,1.12,1.37,1.73,1,0.43,0.361,3.8,0.72
Laminated,6,3.55,3.15,1.13,2.63,11.99,3.8,2.85,0.473,21.13,1
Heat-Strengthened,16,3.22,1.82,1.77,2.16,0.68,2,1.3,0.835,5.17,0.43
Fully Tempered,16,1.78,1.05,1.7,1.91,0.1,4,3,0.789,9.68,0.72
Fully Tempered,8,3.13,1.35,2.32,1.52,4.58,4,3,0.606,10.03,0.36
Fully Tempered,4,1.06,4.64,0.23,0.68,0.06,4,3,0.649,4.19,0.43
Fully Tempered,8,4.88,4.03,1.21,2.42,13,4,3,0.6,16.13,0.64
Fully Tempered,6,3.38,4.94,0.68,1.18,2.82,4,3,0.478,9.87,0.43
Annealed,12,2.02,3.12,0.65,2.25,0.14,1,0.43,0.735,3.06,0.55
Fully Tempered,6,4.63,1.87,2.48,2.02,49.89,4,3,0.731,11.05,0.83
Fully Tempered,10,2.92,1.01,2.89,2.95,4.61,4,3,0.732,16.12,1
Laminated,6,2.75,3.91,0.7,2.19,2.9,3.8,2.85,0.509,16.35,0.36
Heat-Strengthened,4,4.96,4.02,1.23,0.7,32.17,2,1.3,0.314,4.46,0.31
Fully Tempered,4,2.86,4.89,0.58,1.65,6.89,4,3,0.652,10.12,0.64
Heat-Strengthened,19,1.49,3.56,0.42,2.06,0.01,2,1.3,0.887,4.64,0.72
Heat-Strengthened,4,3.2,1.09,2.94,1.12,36.55,2,1.3,0.403,5.56,1
Fully Tempered,16,2.29,1.09,2.1,1.45,0.19,4,3,0.717,8.09,0.43
Annealed,8,3.97,3.47,1.14,1.87,5.11,1,0.43,0.747,2.5,1
Annealed,6,3.24,4.4,0.74,2.59,5.87,1,0.43,0.624,4.15,0.43
Annealed,12,2.34,2.64,0.89,1.87,0.24,1,0.43,0.85,2.2,0.36
Fully Tempered,8,2.51,3.95,0.64,0.87,0.33,4,3,0.508,6.85,0.55
Heat-Strengthened,4,1.21,2.56,0.47,2.48,0.63,2,1.3,0.825,6.01,0.43
Heat-Strengthened,16,2.65,2.07,1.28,2.45,0.28,2,1.3,0.727,6.74,0.93
Heat-Strengthened,6,2.61,3.39,0.77,1.3,1.61,2,1.3,0.725,3.59,0.36
Heat-Strengthened,8,1.79,3.03,0.59,2.1,0.27,2,1.3,0.307,13.68,0.36
Laminated,19,4.04,2.35,1.72,0.53,0.19,3.8,2.85,0.722,2.79,0.31
Heat-Strengthened,5,1.68,2.98,0.56,2.73,1.14,2,1.3,0.338,16.15,0.83
Heat-Strengthened,19,3.89,3.1,1.25,1.41,0.3,2,1.3,0.701,4.02,1
Laminated,16,3.26,3,1.09,1.99,0.36,3.8,2.85,0.844,8.96,0.43
Annealed,6,4.6,1.81,2.54,2.82,70.11,1,0.43,0.598,4.72,0.55
Heat-Strengthened,8,3.37,1.13,2.98,1.9,9.2,2,1.3,0.431,8.82,0.93
Laminated,4,4.9,1.44,3.4,1.32,179.25,3.8,2.85,0.315,15.92,0.72
Fully Tempered,19,2.17,3.32,0.65,2.65,0.05,4,3,0.863,12.28,0.72
Laminated,6,2.58,2.78,0.93,2.5,3.6,3.8,2.85,0.39,24.36,0.31
Annealed,10,3.29,2.25,1.46,1.27,1.29,1,0.43,0.871,1.46,0.93
Annealed,19,4.95,3.64,1.36,2.64,1.24,1,0.43,0.822,3.21,0.64
Annealed,5,3.78,2.78,1.36,1.66,19.05,1,0.43,0.492,3.37,0.36
Annealed,19,2.92,4.02,0.73,1.03,0.05,1,0.43,0.713,1.44,0.43
Annealed,19,1.82,4,0.46,1.25,0.01,1,0.43,0.874,1.43,0.31
Annealed,16,1.52,3.99,0.38,1.71,0.01,1,0.43,0.754,2.27,0.64
Heat-Strengthened,6,1.6,3.83,0.42,1.69,0.26,2,1.3,0.76,4.45,0.36
Laminated,5,2.36,4.42,0.53,1.39,1.52,3.8,2.85,0.85,6.21,0.83
Annealed,5,3.66,3.79,0.97,0.74,5.48,1,0.43,0.665,1.11,0.72
Heat-Strengthened,19,2.9,1.4,2.07,0.8,0.13,2,1.3,0.814,1.97,0.93
Laminated,5,3.61,3.68,0.98,1.83,13.2,3.8,2.85,0.411,16.92,0.36
Heat-Strengthened,5,4.12,3.68,1.12,1.5,18.36,2,1.3,0.367,8.17,0.83
Heat-Strengthened,8,4.08,4.2,0.97,0.79,1.99,2,1.3,0.433,3.65,0.72
Laminated,8,1.31,2.74,0.48,0.71,0.03,3.8,2.85,0.464,5.81,0.64
Laminated,4,1.45,3.23,0.45,1.67,0.7,3.8,2.85,0.313,20.27,0.31
Laminated,4,3.34,2.97,1.12,2.4,30.7,3.8,2.85,0.331,27.55,0.83
Fully Tempered,5,1.19,4.77,0.25,1.86,0.12,4,3,0.752,9.89,0.72
Heat-Strengthened,16,3.34,2.71,1.23,2.8,0.61,2,1.3,0.9,6.22,0.72
Laminated,6,2.45,1.89,1.3,1.95,3.36,3.8,2.85,0.476,15.57,1
Annealed,5,3.17,3.4,0.93,2.16,10.03,1,0.43,0.56,3.86,0.31
Annealed,4,1.34,1.86,0.72,1.64,0.87,1,0.43,0.856,1.92,1
Annealed,5,4.28,1.65,2.59,1.68,59.34,1,0.43,0.493,3.41,0.31
Heat-Strengthened,19,2.07,4.43,0.47,2.8,0.03,2,1.3,0.868,6.45,0.31
Laminated,4,4.52,1.88,2.4,1.62,122,3.8,2.85,0.693,8.88,0.55
Laminated,19,1.74,1.52,1.14,1.26,0.02,3.8,2.85,0.72,6.65,0.55
Laminated,6,1.01,2.41,0.42,2.27,0.09,3.8,2.85,0.795,10.85,0.43
Annealed,4,1.95,1.28,1.52,1.15,4.41,1,0.43,0.493,2.33,0.43
Laminated,6,4.61,1.96,2.35,0.99,22.93,3.8,2.85,0.332,11.33,0.72
Heat-Strengthened,4,2.78,2.61,1.07,2.82,19.7,2,1.3,0.645,8.74,0.36
Annealed,5,1.31,3.42,0.38,1.74,0.23,1,0.43,0.603,2.89,0.72
Annealed,10,3.68,2.26,1.63,1.04,1.83,1,0.43,0.894,1.16,0.55
Laminated,16,2.78,1.56,1.78,1.8,0.37,3.8,2.85,0.833,8.21,0.36
Heat-Strengthened,10,2.29,4.95,0.46,2.01,0.22,2,1.3,0.898,4.48,0.36
Annealed,12,1.62,1.87,0.87,0.75,0.03,1,0.43,0.708,1.06,0.64
Heat-Strengthened,16,4.43,1.84,2.41,1.37,1.52,2,1.3,0.756,3.62,0.43
Laminated,6,1.32,1.07,1.23,0.61,0.16,3.8,2.85,0.53,4.37,1
Fully Tempered,4,3.92,4.62,0.85,1.31,20.44,4,3,0.48,10.92,1
Annealed,19,3.28,3.6,0.91,2.4,0.22,1,0.43,0.753,3.19,0.64
Laminated,8,4.53,1.57,2.89,0.59,6.71,3.8,2.85,0.797,2.81,0.55
Fully Tempered,12,4.46,4.69,0.95,1.86,1.77,4,3,0.727,10.23,0.72
Heat-Strengthened,16,1.61,3.28,0.49,1.02,0.01,2,1.3,0.828,2.46,0.43
Annealed,5,1.58,2.09,0.76,2.27,1.06,1,0.43,0.861,2.64,0.43
Fully Tempered,8,1.51,2.55,0.59,2.33,0.18,4,3,0.345,27.01,0.36
Heat-Strengthened,8,1.33,3.72,0.36,1.63,0.05,2,1.3,0.486,6.71,0.64
Fully Tempered,19,4.77,4.52,1.06,2.58,0.84,4,3,0.897,11.51,1
Fully Tempered,4,3.3,1.93,1.71,1.33,27.72,4,3,0.722,7.37,0.31
Fully Tempered,4,4.33,2.89,1.5,1.18,43.82,4,3,0.775,6.09,0.31
Heat-Strengthened,19,2.07,2.06,1,1.62,0.04,2,1.3,0.893,3.63,1
Fully Tempered,12,2.26,1.8,1.26,1.93,0.32,4,3,0.807,9.57,0.72
